2026-01-05 18:20:56 | INFO     | app.core.logging_config:setup_logging:137 | Logging system initialized | {'environment': 'production', 'level': 'INFO'}
2026-01-05 18:20:56 | WARNING  | app.core.logging_config:setup_sentry:158 | Sentry DSN not configured, error tracking disabled. Set SENTRY_DSN environment variable to enable. | {}
2026-01-05 18:20:56 | INFO     | app.main:lifespan:55 | Starting Productivity App API v1.0.0 | {}
2026-01-05 18:20:56 | INFO     | app.main:lifespan:56 | Environment: development | {}
2026-01-05 18:20:56 | INFO     | app.main:lifespan:57 | Documentation: http://localhost:8000/docs | {}
2026-01-05 18:20:56 | INFO     | app.main:lifespan:58 | Database migrations managed by Alembic | {}
2026-01-05 18:20:56 | INFO     | app.main:lifespan:59 | Run 'alembic upgrade head' to apply migrations | {}
2026-01-05 18:20:56 | INFO     | logging:callHandlers:1706 | Application startup complete. | {}
2026-01-05 18:21:01 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET / | {'correlation_id': '99711daf-b80f-45d9-bcfa-75d3259caf84', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-05 18:21:01 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET / → 200 (10.56ms) | {'correlation_id': '99711daf-b80f-45d9-bcfa-75d3259caf84', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 10.56}
2026-01-05 18:21:01 | INFO     | logging:callHandlers:1706 | 127.0.0.1:61110 - "GET / HTTP/1.1" 200 | {}
2026-01-05 18:21:02 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /favicon.ico | {'correlation_id': '4b7b0716-c583-4e1e-a84e-cb327496583c', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-05 18:21:02 | WARNING  | app.middleware.logging_middleware:dispatch:95 | ← GET /favicon.ico → 404 (8.73ms) | {'correlation_id': '4b7b0716-c583-4e1e-a84e-cb327496583c', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 404, 'duration_ms': 8.73}
2026-01-05 18:21:02 | INFO     | logging:callHandlers:1706 | 127.0.0.1:61110 - "GET /favicon.ico HTTP/1.1" 404 | {}
2026-01-05 18:21:12 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /docs | {'correlation_id': 'f0c5bf5b-2efd-4335-b2eb-a23f85e4bda4', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-05 18:21:12 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /docs → 200 (0.52ms) | {'correlation_id': 'f0c5bf5b-2efd-4335-b2eb-a23f85e4bda4', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 0.52}
2026-01-05 18:21:12 | INFO     | logging:callHandlers:1706 | 127.0.0.1:50799 - "GET /docs HTTP/1.1" 200 | {}
2026-01-05 18:21:13 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/openapi.json | {'correlation_id': '2bb9316e-6dd7-464f-aedb-e0d187f6d830', 'user_id': None, 'method': 'GET', 'path': '/api/v1/openapi.json', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-05 18:21:13 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /api/v1/openapi.json → 200 (284.41ms) | {'correlation_id': '2bb9316e-6dd7-464f-aedb-e0d187f6d830', 'user_id': None, 'method': 'GET', 'path': '/api/v1/openapi.json', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 284.41}
2026-01-05 18:21:13 | INFO     | logging:callHandlers:1706 | 127.0.0.1:50799 - "GET /api/v1/openapi.json HTTP/1.1" 200 | {}
2026-01-05 18:25:23 | INFO     | app.middleware.logging_middleware:dispatch:59 | → POST /api/v1/auth/login | {'correlation_id': '7d57d588-24b7-4fcb-8f1a-1bfd1c3cc624', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-05 18:25:26 | ERROR    | app.middleware.logging_middleware:dispatch:95 | ← POST /api/v1/auth/login → 200 (3089.24ms) | {'correlation_id': '7d57d588-24b7-4fcb-8f1a-1bfd1c3cc624', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 3089.24}
2026-01-05 18:25:26 | ERROR    | app.middleware.logging_middleware:dispatch:103 | ⚠️  VERY SLOW REQUEST: POST /api/v1/auth/login took 3.09s - investigate immediately! | {'correlation_id': '7d57d588-24b7-4fcb-8f1a-1bfd1c3cc624', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 3089.24, 'duration_seconds': 3.089238405227661, 'threshold': 'very_slow'}
2026-01-05 18:25:26 | INFO     | logging:callHandlers:1706 | 127.0.0.1:62669 - "POST /api/v1/auth/login HTTP/1.1" 200 | {}
2026-01-05 18:25:51 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/auth/me | {'correlation_id': 'c35f6b7b-a214-4e90-abb2-60a999be920b', 'user_id': None, 'method': 'GET', 'path': '/api/v1/auth/me', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
