2025-12-24 16:29:25 | INFO     | app.core.logging_config:setup_logging:137 | Logging system initialized | {'environment': 'production', 'level': 'INFO'}
2025-12-24 16:29:25 | WARNING  | app.core.logging_config:setup_sentry:158 | Sentry DSN not configured, error tracking disabled. Set SENTRY_DSN environment variable to enable. | {}
2025-12-24 16:29:25 | INFO     | app.main:lifespan:55 | Starting Productivity App API v1.0.0 | {}
2025-12-24 16:29:25 | INFO     | app.main:lifespan:56 | Environment: development | {}
2025-12-24 16:29:25 | INFO     | app.main:lifespan:57 | Documentation: http://localhost:8000/docs | {}
2025-12-24 16:29:25 | INFO     | app.main:lifespan:58 | Database migrations managed by Alembic | {}
2025-12-24 16:29:25 | INFO     | app.main:lifespan:59 | Run 'alembic upgrade head' to apply migrations | {}
2025-12-24 16:29:25 | INFO     | logging:callHandlers:1706 | Application startup complete. | {}
2025-12-24 16:30:01 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET / | {'correlation_id': '899935c7-4014-46c7-b9c5-527573a66ca0', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2025-12-24 16:30:01 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET / → 200 (0.0ms) | {'correlation_id': '899935c7-4014-46c7-b9c5-527573a66ca0', 'user_id': None, 'method': 'GET', 'path': '/', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 0.0}
2025-12-24 16:30:01 | INFO     | logging:callHandlers:1706 | 127.0.0.1:59466 - "GET / HTTP/1.1" 200 | {}
2025-12-24 16:30:01 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /favicon.ico | {'correlation_id': '45c21096-7fa2-417a-9fc2-604b12918488', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2025-12-24 16:30:01 | WARNING  | app.middleware.logging_middleware:dispatch:95 | ← GET /favicon.ico → 404 (2.01ms) | {'correlation_id': '45c21096-7fa2-417a-9fc2-604b12918488', 'user_id': None, 'method': 'GET', 'path': '/favicon.ico', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 404, 'duration_ms': 2.01}
2025-12-24 16:30:01 | INFO     | logging:callHandlers:1706 | 127.0.0.1:59466 - "GET /favicon.ico HTTP/1.1" 404 | {}
2025-12-24 16:30:10 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /docs | {'correlation_id': '368b5d7c-7bfc-4ca7-8638-f7f33608fed2', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
