2026-01-09 12:17:08 | INFO     | app.core.logging_config:setup_logging:137 | Logging system initialized | {'environment': 'production', 'level': 'INFO'}
2026-01-09 12:17:08 | WARNING  | app.core.logging_config:setup_sentry:158 | Sentry DSN not configured, error tracking disabled. Set SENTRY_DSN environment variable to enable. | {}
2026-01-09 12:17:08 | INFO     | app.main:lifespan:55 | Starting Productivity App API v1.0.0 | {}
2026-01-09 12:17:08 | INFO     | app.main:lifespan:56 | Environment: development | {}
2026-01-09 12:17:08 | INFO     | app.main:lifespan:57 | Documentation: http://localhost:8000/docs | {}
2026-01-09 12:17:08 | INFO     | app.main:lifespan:58 | Database migrations managed by Alembic | {}
2026-01-09 12:17:08 | INFO     | app.main:lifespan:59 | Run 'alembic upgrade head' to apply migrations | {}
2026-01-09 12:17:08 | INFO     | logging:callHandlers:1706 | Application startup complete. | {}
2026-01-09 12:17:12 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /docs | {'correlation_id': '867d4271-f1c3-446c-a758-f3df23b61444', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:17:12 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /docs → 200 (1.96ms) | {'correlation_id': '867d4271-f1c3-446c-a758-f3df23b61444', 'user_id': None, 'method': 'GET', 'path': '/docs', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 1.96}
2026-01-09 12:17:12 | INFO     | logging:callHandlers:1706 | 127.0.0.1:56352 - "GET /docs HTTP/1.1" 200 | {}
2026-01-09 12:17:13 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/openapi.json | {'correlation_id': '80cadb92-480d-4e73-872b-715bffc79f8e', 'user_id': None, 'method': 'GET', 'path': '/api/v1/openapi.json', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:17:13 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /api/v1/openapi.json → 200 (220.96ms) | {'correlation_id': '80cadb92-480d-4e73-872b-715bffc79f8e', 'user_id': None, 'method': 'GET', 'path': '/api/v1/openapi.json', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 220.96}
2026-01-09 12:17:13 | INFO     | logging:callHandlers:1706 | 127.0.0.1:53927 - "GET /api/v1/openapi.json HTTP/1.1" 200 | {}
2026-01-09 12:26:17 | INFO     | app.middleware.logging_middleware:dispatch:59 | → POST /api/v1/auth/login | {'correlation_id': '9f9dbd5d-fb44-4fad-afc9-13bb8f0d0ece', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:26:18 | WARNING  | app.middleware.logging_middleware:dispatch:95 | ← POST /api/v1/auth/login → 200 (1823.8ms) | {'correlation_id': '9f9dbd5d-fb44-4fad-afc9-13bb8f0d0ece', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 1823.8}
2026-01-09 12:26:18 | WARNING  | app.middleware.logging_middleware:dispatch:110 | ⚠️  Slow request: POST /api/v1/auth/login took 1.82s - consider optimization | {'correlation_id': '9f9dbd5d-fb44-4fad-afc9-13bb8f0d0ece', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/login', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 1823.8, 'duration_seconds': 1.8238029479980469, 'threshold': 'slow'}
2026-01-09 12:26:18 | INFO     | logging:callHandlers:1706 | 127.0.0.1:56478 - "POST /api/v1/auth/login HTTP/1.1" 200 | {}
2026-01-09 12:27:17 | INFO     | app.middleware.logging_middleware:dispatch:59 | → POST /api/v1/auth/register | {'correlation_id': '66c460c1-63c3-4d21-835f-0b53a20dc67e', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/register', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:27:17 | WARNING  | app.middleware.error_handler:validation_exception_handler:106 | Validation error on POST /api/v1/auth/register: 1 field(s) failed validation | {'correlation_id': '66c460c1-63c3-4d21-835f-0b53a20dc67e', 'path': '/api/v1/auth/register', 'method': 'POST', 'errors': [{'field': 'password', 'message': 'String should have at least 8 characters', 'type': 'string_too_short', 'input': 'iamuser'}], 'user_id': None}
2026-01-09 12:27:17 | WARNING  | app.middleware.logging_middleware:dispatch:95 | ← POST /api/v1/auth/register → 422 (18.05ms) | {'correlation_id': '66c460c1-63c3-4d21-835f-0b53a20dc67e', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/register', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 422, 'duration_ms': 18.05}
2026-01-09 12:27:17 | INFO     | logging:callHandlers:1706 | 127.0.0.1:60676 - "POST /api/v1/auth/register HTTP/1.1" 422 | {}
2026-01-09 12:27:35 | INFO     | app.middleware.logging_middleware:dispatch:59 | → POST /api/v1/auth/register | {'correlation_id': '41cb2da8-8f77-4314-adef-c001683c9384', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/register', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:27:35 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← POST /api/v1/auth/register → 201 (380.09ms) | {'correlation_id': '41cb2da8-8f77-4314-adef-c001683c9384', 'user_id': None, 'method': 'POST', 'path': '/api/v1/auth/register', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 201, 'duration_ms': 380.09}
2026-01-09 12:27:35 | INFO     | logging:callHandlers:1706 | 127.0.0.1:59389 - "POST /api/v1/auth/register HTTP/1.1" 201 | {}
2026-01-09 12:32:30 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/auth/me | {'correlation_id': '791c78c0-af93-40d9-9ebb-38ccd8e1b6db', 'user_id': None, 'method': 'GET', 'path': '/api/v1/auth/me', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:32:30 | INFO     | app.middleware.logging_middleware:dispatch:95 | ← GET /api/v1/auth/me → 200 (760.71ms) | {'correlation_id': '791c78c0-af93-40d9-9ebb-38ccd8e1b6db', 'user_id': None, 'method': 'GET', 'path': '/api/v1/auth/me', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0', 'status_code': 200, 'duration_ms': 760.71}
2026-01-09 12:32:31 | INFO     | logging:callHandlers:1706 | 127.0.0.1:56092 - "GET /api/v1/auth/me HTTP/1.1" 200 | {}
2026-01-09 12:32:52 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/categories | {'correlation_id': '40f1906c-8180-49a1-9175-b93b5454abd1', 'user_id': None, 'method': 'GET', 'path': '/api/v1/categories', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
2026-01-09 12:32:52 | INFO     | app.middleware.logging_middleware:dispatch:59 | → GET /api/v1/tags | {'correlation_id': 'b94f0f2d-60e5-4145-9d97-6ebdf788dbfc', 'user_id': None, 'method': 'GET', 'path': '/api/v1/tags', 'client_ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0'}
